,PERIOD_START_TIME,SECTOR,REGION,RRC_SETUP_SR_ALL,RAB_EST_SR_CS,W2G_IRAT/IF_HO_SR,DROP_CALL_RATE,IF_HOSR,RAB_DROP_RATE_HSDPA,RAB_DROP_RATE_EUL,AVERAGE_UL_RSSI_DBM,RAB_SETUP_SUCC_RATE_PS,EUL_MAC_USER_THR_KBPS,HSDPA_MAC_HS_USER_THR_NET,PAGING_INTENSITY(PPS/CELL),3G_LOAD
4709,2/27/2021,UT2037XD,R1,99.8923,99.9902,75.0,0.0558,95.9596,0.0377,0.0338,-104.7633,99.8853,376.035712,2146.082457,0,922.7521210711
4710,2/27/2021,UT2058XE,R1,99.9622,100.0,100.0,0.0,100.0,0.0119,0.012,-105.92,100.0,481.285258,3670.6879619999995,0,173.1458097209
4711,2/27/2021,UT2076XB,R3,99.7398,100.0,100.0,0.0504,93.3333,0.2365,0.1895,-100.33,99.8559,699.98497,2699.199794,0,770.145258222375
4712,2/27/2021,UT2090XB,R3,99.7484,99.9905,100.0,0.1297,74.0,0.44799999999999995,0.3702,-101.9067,99.8233,331.370893,1792.91582,0,1890.77824778061
4713,2/27/2021,UT2112XF,R3,99.7004,100.0,100.0,0.0,100.0,0.0761,0.08900000000000001,-105.44,99.7573,518.779623,2474.8216820000002,0,29.2504016259
4714,2/27/2021,UT2139XA,R3,98.1257,99.978,94.5946,0.049,71.4286,0.4417,0.3533,-102.38,99.7082,357.164833,2441.7529999999997,0,951.0620575242999
4715,2/27/2021,UT2198XC,R3,99.8747,99.9919,96.3855,0.0393,90.4762,0.0592,0.06,-102.4633,99.9436,464.057172,2035.370275,0,1245.37419076445
4716,2/27/2021,UT2218XB,R3,99.4945,100.0,100.0,0.0472,76.0,0.1002,0.0775,-104.5567,99.9315,411.818688,2428.2618390000002,0,763.3602187291
4717,2/27/2021,UT2294XF,R3,99.2367,100.0,100.0,0.0,100.0,0.1856,0.1642,-106.17,99.9254,426.583791,3236.018161,0,94.182928116
4718,2/27/2021,UT2295XC,R3,98.9513,99.8683,97.5248,0.8047,23.0769,0.3158,0.1542,-102.4567,99.6522,347.809981,1430.629005,0,625.200282868938
4719,2/27/2021,UT2046XC,R1,99.5176,99.9732,92.3077,0.0864,98.4848,0.1261,0.0935,-104.9533,99.9027,412.019847,2010.7746489999997,0,569.7307669003
4720,2/27/2021,UT2104XA,R3,99.6182,100.0,100.0,0.1266,78.125,0.2588,0.1956,-101.4833,99.7355,465.52226900000005,2879.82302,0,297.636095519562
4721,2/27/2021,UT2113XA,R3,99.7238,99.9713,100.0,0.2487,75.5319,0.1284,0.1639,-102.7,99.866,489.629745,2054.536695,0,1379.4565124002
4722,2/27/2021,UT2131XB,R3,99.7755,100.0,95.3488,0.0524,96.0,0.1461,0.1233,-100.7233,99.8804,429.883351,2388.110584,0,1406.04033611035
